# sequana_coverage thresholds:-3.00,3.00,0.50,0.50 window_size:2001 circular:True gc_window_size:201
# JB409847: [{'mu': 0.85606077220333165, 'sigma': 0.24990500986642308, 'pi': 0.2154707467087344}, {'mu': 1.0075128899677164, 'sigma': 0.049589144912210725, 'pi': 0.78452925329126555}]
chr,pos,cov,gc,rm,scale,zscore
JB409847,1,796,0.602,973,0.818,-3.82
JB409847,2,797,0.602,973,0.819,-3.8
JB409847,3,803,0.602,973,0.825,-3.67
JB409847,4,808,0.597,973,0.83,-3.57
JB409847,5,812,0.592,973,0.835,-3.49
JB409847,6,815,0.587,973,0.838,-3.43
JB409847,7,819,0.587,973,0.842,-3.34
JB409847,8,823,0.587,973,0.846,-3.26
JB409847,9,829,0.587,973,0.852,-3.14
JB409847,10,833,0.587,973,0.856,-3.05
JB409847,11,837,0.587,973,0.86,-2.97
JB409847,12,837,0.582,973,0.86,-2.97
JB409847,13,841,0.577,973,0.864,-2.89
JB409847,14,843,0.577,973,0.866,-2.85
JB409847,15,844,0.572,973,0.867,-2.83
JB409847,16,847,0.567,973,0.871,-2.76
JB409847,17,848,0.562,973,0.872,-2.74
JB409847,18,848,0.562,973,0.872,-2.74
JB409847,19,852,0.562,973,0.876,-2.66
JB409847,20,856,0.557,973,0.88,-2.58
JB409847,21,861,0.557,973,0.885,-2.47
JB409847,22,864,0.552,973,0.888,-2.41
JB409847,23,867,0.552,973,0.891,-2.35
JB409847,24,868,0.557,973,0.892,-2.33
JB409847,25,871,0.557,973,0.895,-2.27
JB409847,26,874,0.552,973,0.898,-2.2
JB409847,27,876,0.552,973,0.9,-2.16
JB409847,28,878,0.547,973,0.902,-2.12
JB409847,29,884,0.542,973,0.909,-2
JB409847,30,888,0.547,973,0.913,-1.91
JB409847,31,888,0.547,973,0.913,-1.91
JB409847,32,888,0.552,973,0.913,-1.91
JB409847,33,889,0.552,973,0.914,-1.89
JB409847,34,890,0.552,973,0.915,-1.87
JB409847,35,890,0.552,972,0.916,-1.85
JB409847,36,888,0.547,972,0.914,-1.89
JB409847,37,887,0.542,972,0.913,-1.91
JB409847,38,884,0.542,972,0.909,-1.98
JB409847,39,884,0.542,972,0.909,-1.98
JB409847,40,883,0.542,972,0.908,-2
JB409847,41,887,0.537,972,0.913,-1.91
JB409847,42,891,0.532,972,0.917,-1.83
JB409847,43,888,0.532,972,0.914,-1.89
JB409847,44,888,0.537,972,0.914,-1.89
JB409847,45,889,0.532,972,0.915,-1.87
JB409847,46,892,0.532,972,0.918,-1.81
JB409847,47,890,0.532,972,0.916,-1.85
JB409847,48,893,0.532,972,0.919,-1.79
JB409847,49,894,0.532,972,0.92,-1.77
JB409847,50,891,0.532,972,0.917,-1.83
JB409847,51,890,0.532,972,0.916,-1.85
JB409847,52,887,0.527,972,0.913,-1.91
JB409847,53,886,0.527,972,0.912,-1.94
JB409847,54,892,0.527,972,0.918,-1.81
JB409847,55,895,0.522,972,0.921,-1.75
JB409847,56,891,0.517,972,0.917,-1.83
JB409847,57,892,0.512,972,0.918,-1.81
JB409847,58,890,0.512,972,0.916,-1.85
JB409847,59,894,0.507,972,0.92,-1.77
JB409847,60,894,0.512,972,0.92,-1.77
JB409847,61,892,0.517,972,0.918,-1.81
JB409847,62,894,0.517,972,0.92,-1.77
JB409847,63,897,0.512,972,0.923,-1.71
JB409847,64,897,0.512,972,0.923,-1.71
JB409847,65,899,0.512,972,0.925,-1.67
JB409847,66,897,0.507,972,0.923,-1.71
JB409847,67,898,0.507,972,0.924,-1.69
JB409847,68,900,0.502,972,0.926,-1.65
JB409847,69,902,0.502,972,0.928,-1.6
JB409847,70,905,0.502,972,0.931,-1.54
JB409847,71,904,0.498,972,0.93,-1.56
JB409847,72,905,0.498,972,0.931,-1.54
JB409847,73,909,0.502,973,0.934,-1.48
